REGISTRATION_TYPE,NATURE_OF_DOCUMENT
Mortgage [అస్వాదీన తనఖా],Mortgages Executed by Members of Co-Op Urban and Town Banks in f/o Such Banks for Loan Upto Rs.15000 [కో-ఆప్ అర్బన్ మరియు టౌన్ బ్యాంకుల సభ్యులు రూ.15000 వరకు రుణం కోసం అటువంటి బ్యాంకులలో తనఖా అమలు చేస్తారు.]
Mortgage [అస్వాదీన తనఖా],Instruments In f/o SBI And Nationalised Banks For Loan Upto Rs.6500 Under Diff Rates of Int. Adv. /
Mortgage [అస్వాదీన తనఖా],Further Charge - When the Original Mortgage is With Possession [స్వాధీన తనఖా దస్తావేజు పై తదుపరి చార్జ్]
Mortgage [అస్వాదీన తనఖా],Further Charge-Orig. Mortg is Without Possession And Possession Is Agreed to Be Given At Execution [ఆస్వాధీనతో కూడిన తనఖా దస్తావేజు పై మరింత రుణము పొందు దస్తావేజు]
Mortgage [అస్వాదీన తనఖా],Further Charge - Without Possession on a Simple Mortgage [తనఖా దస్తావేజు పై మీరు చేసే దస్తావేజు]
Mortgage [అస్వాదీన తనఖా],Mortgage by Conditional Sale [విక్రయ షరతుతో కూడిన అస్వాధీన తనఖా]
Mortgage [అస్వాదీన తనఖా],Agreement Varying the Terms Of Previously Registered Mortgage Deed [పూర్వపు అస్వాధీన తనఖాలు ఏమైనా ఒప్పోంద మార్పులు ఉంటే చేసే దస్తావేజు]
Mortgage [అస్వాదీన తనఖా],Additional Security [అదనపు భద్రతతో చేసే దస్తావేజు]
Mortgage [అస్వాదీన తనఖా],Substituted Security [ప్రత్యాన్మయ భద్రతా దస్తావేజు]
Mortgage [అస్వాదీన తనఖా],Mortgage(Others) [తనఖా (ఇతరులు)]
Gift [దాన పత్రము],Gift [దాన పత్రము].
Gift [దాన పత్రము],Gift Settlement In f/o Family Member [కుటుంబ సభ్యులకు దఖలు]
Gift [దాన పత్రము],Gift Settlement In f/o Others [ఇతరులకు దఖలు]
Gift [దాన పత్రము],Gift Settlement For Charitable/Religious Purposes [మతధార్మిక సంస్థకు దఖలు]
Gift [దాన పత్రము],Gift Settlement In f/o Local Bodies [స్థానిక సంస్థలకు దఖలు]
Gift [దాన పత్రము],Gift In f/o Local Bodies (G.O 137) [స్థానిక సంస్థలకు దఖలు]
Gift [దాన పత్రము],"Gift For Charitable Religious Purposes/God [మత, ధార్మిక సంస్థలకు దఖలు]"
Gift [దాన పత్రము],Gift In Favour Of Government [ప్రభుత్వమునకు దాన పత్రము]
Gift [దాన పత్రము],Gift Settlement Deeds In Favour Of Government [ప్రభుత్వమునకు దఖలు దస్తావేజు]
Gift [దాన పత్రము],Gift Of Terrace Rights [టెర్రేస్ హక్కుల దానపత్రము]
Gift [దాన పత్రము],Gift Settlement Of Terrace Rights [టెర్రేస్ హక్కుల దఖలు దస్తావేజు]
Gift [దాన పత్రము],Gift Reserving Life Interest [జీవితకాలపు హక్కు ఉంచుకొని చేసే దాన దస్తావేజు]
Gift [దాన పత్రము],Gift Settlement Reserving Life Interest [జీవితకాలపు హక్కు ఉంచుకొని చేసే దఖలు]
Partition [భాగపంపిణి],Partition [భాగపంపిణి]
Partition [భాగపంపిణి],Partition Among Family Members [కుటుంబ సభ్యుల మధ్య జరుగు భాగ పంపిణీ దస్తావేజు]
Partition [భాగపంపిణి],Partition executed by Court
Release [హక్కు విడుదల],Release (Co-Parceners) [హక్కు విడుదల]
Release [హక్కు విడుదల],Release (Others) [హక్కు విడుదల(ఇతరులకు)]
Release [హక్కు విడుదల],Reconveyance Deed Executed By Govt In Fovour Of Employees [ఉద్యోగుల పేరిట ప్రభుత్వము చేయు రికన్వేయన్స్ దస్తావేజు]
Release [హక్కు విడుదల],Reconveyance Deed(Others) [రికన్వేయన్స్ పత్రం(ఇతరులు)]
Release [హక్కు విడుదల],Receipt (R.T.D.M) [చెల్లు రశీదు]
Release [హక్కు విడుదల],Release (Federation OR Society To Society) [ఫెడరేషన్ లేదా సొసైటి వారికి మధ్య జరిగే హక్కు విడుదల]
Release [హక్కు విడుదల],Release Of Life Interest [జీవిత కాలపు హక్కు విడుదల దస్తావేజు]
Release [హక్కు విడుదల],Release Of Disputed Right [వివాదాస్పద హక్కు విడుదల దస్తావేజు]
Release [హక్కు విడుదల],Release Of Mortgage Right
Release [హక్కు విడుదల],Release Of Maintenance Right By Way Of Relinquishing Right For Immovable Property [మనోవర్తి హక్కు విడుదల దస్తావేజు]
Release [హక్కు విడుదల],Release(Others) [హక్కు విడుదల (ఇతరములు)]
Release [హక్కు విడుదల],Release Among Family Members [కుటుంబ సభ్యుల మధ్య జరుగు హక్కు విడుదల దస్తావేజు]
"Exchange [పరటా, మార్పిడి దస్తావేజు]","Exchange [పరటా, మార్పిడి దస్తావేజు]"
"Exchange [పరటా, మార్పిడి దస్తావేజు]",Exchange by CRDA
Lease [కౌలు],"Lease Deed [కౌలు దస్తావేజు, అద్దె ఒప్పొంద దస్తావేజు]"
Lease [కౌలు],"Lease In Favour Of State/Central Govt. [కేంద్ర, రాష్ట్ర ప్రభుత్వములకు కౌలు]"
Lease [కౌలు],Mining Lease [గనుల అద్దె]
Lease [కౌలు],Salt Leases With Ground Rent [భూమి అద్దె తో కూడిన ఉప్పు ఒప్పొందము]
Lease [కౌలు],Transfer Of Lease [అద్దె ఒప్పంద బదిలీ దస్తావేజు]
Lease [కౌలు],Surrender Of Lease [అద్దె ఒప్పంద రద్దు దస్తావేజు]
Lease [కౌలు],Lease(Others) [అద్దె ఖరారు (ఇతరములు)]
Rectification/Ratification/Cancellation Deed [సవరణ/ఒప్పుదల/రద్దు పత్రము],Rectification Deed [సవరణ పత్రము]
Rectification/Ratification/Cancellation Deed [సవరణ/ఒప్పుదల/రద్దు పత్రము],"Supplemental Deed, Ratification Deed U/S 4 Of I.S.Act [అనుబంధ ఒప్పుదల దస్తావేజు]"
Rectification/Ratification/Cancellation Deed [సవరణ/ఒప్పుదల/రద్దు పత్రము],Cancellation Deed [రద్దు పత్రము]
Rectification/Ratification/Cancellation Deed [సవరణ/ఒప్పుదల/రద్దు పత్రము],Revocation Of Gift Settlement [దాఖలు పత్రము ఉప సంహరణ]
Power Of Attorney [పవర్ ఆఫ్ అటార్నీ].,Power To Sell Immovable Property (No Value Mentioned)[పవర్ ఆఫ్ అటార్నీ]
Power Of Attorney [పవర్ ఆఫ్ అటార్నీ].,GPA In Favour Of Family Members[పవర్ ఆఫ్ అటార్నీ]
Will [వీలునామా],Will [వీలునామా]
Will [వీలునామా],Cancellation Of Will [వీలునామా రద్దు]
Will [వీలునామా],Codicil [వీలునామా అనుబంధ దస్తావేజు]
Will [వీలునామా],Will in Sealed Cover
Adoption Deed [దత్త స్వీకరణ],Adoption Deed [దత్త స్వీకరణ]
Affidavit [ప్రమాణ పత్రము],Affidavit [ప్రమాణ పత్రము]
Agreement (Others) [ఒప్పందం(ఇతరులు)],Agreement (Others) [ఒప్పందం (ఇతరులు)]
Award (Not Directing Partition) [భాగపంపిణి చేసుకోవద్దని చెప్పే తీర్పు పత్రము],Award (Not Directing Partition) [భాగపంపిణి చేసుకోవద్దని చెప్పే తీర్పు పత్రము]
Bond [పూచీ పత్రము],Bond [పూచీ పత్రము]
Cancellation GPA [జనరల్ పవర్ ఆఫ్ అటార్నీ రద్దు పత్రం],Cancellation GPA [జనరల్ పవర్ ఆఫ్ అటార్నీ రద్దు పత్రం]
Cancellation (Others) [రద్దు పత్రము(ఇతరులు)],Cancellation (Others) [రద్దు పత్రము(ఇతరులు)]
Divorce [విడాకుల పత్రము],Divorce [విడాకుల పత్రము]
Indemnity Bond [నష్ట పరిహార పూచీ పత్రం],Indemnity Bond [నష్ట పరిహార పూచీ పత్రం]
Partnership [భాగస్వామ్యము],Partnership [భాగస్వామ్యము]
Dissolution Of Partnership [భాగస్వామ్య రద్దు],Dissolution Of Partnership [భాగస్వామ్య రద్దు]
Power Of Attorney [పవర్ ఆఫ్ అటార్నీ],Special Power
Power Of Attorney [పవర్ ఆఫ్ అటార్నీ],General Power
Power Of Attorney [పవర్ ఆఫ్ అటార్నీ],Power for Consideration
Security Bond [భద్రతా పూచీ పత్రం],Security Bond [భద్రతా పూచీ పత్రం]
Trust [ట్రస్టు],Declaration [ప్రకటన]
Trust [ట్రస్టు],Others (Settlement) [సెటిల్మెంట్(ఇతరములు)]
Trust [ట్రస్టు],Revocation [ఉపసంహరణ/రద్దు పత్రము]
Book 4 (Others) [బుక్ 4 దస్తావేజు (ఇతరములు)],Book 4 (Others) [బుక్ 4 దస్తావేజు (ఇతరములు)]
